,Ácido Acetilsalicílico,Ácido Ectacrínico,Ácido Mefenâmico,Álcool (bebida),Analgésicos Narcóticos,Anfetaminas,Antiácidos,Antibióticos (Largo Espectro),Anticoagulantes Orais,Anticolinérgicos,Antidepressivos Tricíclicos,Anti-histamínicos,Barbitúricos,Benzodiazepinas (Diazepam),Biguanidas (Fenformina),Bloqueadores adrenérgicos beta,Bloqueantes Neuromusculares,Carbamazepina,Cefaloridina (Ceporan),Clofibrato,Clonidina,Cloranfenicol,Colestiramina,Contraceptivos Orais,Corticosteróides,Dicloralfenazona,Digoxina,Esteróides Anabólicos,Fenfluramina,Fenilbutazona,Fenitoína,Fenotiazinas (Clorpromazina),Furosemida,Glutetimida,Griseofulvina,Guanetidina,Haloperidol,Hidrato de Cloral,Indometacina,iMAOs,Insulinas,Isoniazida,Levodopa,Meprobamato,Metildopa,Metotrexato,Metronidazol,Naproxeno,Piridoxina,Procainamida,Quinidina,Rifampicina,Simpaticomiméticos (A. Directa),Simpaticomiméticos (A. Indirecta),Sulfimpirazona,Sulfonamidas,Sulfonilinas (Clorpropamida),Tetraciclinas,Tiazidas,"Tiramina (Alimentos, Etc.)",Tiroxina
Ácido Acetilsalicílico,0,5,6,6,2,4,6,3,3,4,6,5,6,3,6,5,3,5,2,1,3,2,4,6,4,4,6,3,3,1,2,6,2,5,2,4,6,3,5,5,5,1,4,5,6,3,6,4,4,3,3,3,2,6,4,3,2,4,4,5,2
Ácido Ectacrínico,4,0,5,5,4,4,6,3,3,6,4,5,4,4,1,4,6,4,4,6,5,3,1,5,4,6,5,4,4,3,6,3,1,6,5,5,1,5,6,3,6,6,1,2,1,3,4,1,2,6,3,5,4,2,2,1,6,4,3,5,6
Ácido Mefenâmico,5,3,0,3,2,2,2,4,6,1,4,6,5,4,3,1,4,6,2,6,3,2,3,1,6,5,4,2,2,1,4,3,4,6,4,5,2,2,6,2,3,5,3,3,3,1,4,2,4,5,5,6,3,2,2,6,1,6,3,2,4
Álcool (bebida),3,5,5,0,6,6,2,3,1,5,5,6,1,3,1,6,1,2,3,4,4,1,5,6,1,3,3,4,4,6,5,3,6,3,3,5,6,3,5,6,1,6,4,6,2,3,2,3,3,4,5,5,4,6,3,1,1,4,2,4,2
Analgésicos Narcóticos,3,3,4,6,0,2,1,2,2,5,2,4,4,3,5,5,1,3,3,2,3,4,4,5,5,4,1,3,5,4,1,2,2,2,3,4,1,2,4,2,6,6,5,5,3,3,2,4,4,6,4,3,1,5,4,4,3,2,1,6,1
Anfetaminas,3,5,1,1,5,0,3,1,6,5,2,3,4,5,3,1,6,2,5,3,2,1,4,3,4,5,4,3,5,6,4,4,6,2,4,6,2,3,5,6,6,5,6,5,4,4,2,6,4,6,3,1,1,5,2,5,4,3,6,3,5
Antiácidos,4,4,2,6,5,6,0,1,4,4,4,2,3,5,2,2,6,4,1,3,3,5,5,1,2,1,3,1,1,3,2,3,1,4,6,1,2,6,4,3,1,1,6,3,5,6,4,6,1,5,1,4,2,2,4,1,6,2,4,5,5
Antibióticos (Largo Espectro),2,6,1,3,1,4,1,0,5,2,2,4,5,5,3,2,4,5,3,5,5,4,3,1,2,1,6,6,6,6,5,2,3,4,4,5,1,6,3,1,3,3,6,2,6,2,5,6,1,1,5,1,3,4,4,4,5,3,2,2,2
Anticoagulantes Orais,4,5,5,2,2,6,6,4,0,2,1,2,3,1,1,4,3,6,2,2,2,2,4,1,6,3,4,4,2,4,6,3,3,3,5,6,1,6,6,6,3,6,2,4,5,2,3,4,5,6,5,2,2,6,1,3,1,3,2,1,3
Anticolinérgicos,5,1,1,3,1,5,1,3,3,0,5,4,6,1,5,4,2,3,1,3,3,6,6,3,5,4,6,1,6,2,2,2,3,3,4,6,2,6,4,4,2,5,3,5,1,6,1,2,1,3,3,4,1,1,6,1,4,2,5,5,6
Antidepressivos Tricíclicos,6,2,5,6,5,2,3,4,6,3,0,5,6,2,1,1,6,6,1,2,4,6,4,4,4,2,3,2,5,1,3,6,6,3,3,2,1,5,3,1,5,4,4,2,4,6,5,5,1,1,4,6,6,6,2,1,3,2,4,5,2
Anti-histamínicos,4,4,3,6,2,2,2,4,4,4,2,0,2,5,2,4,2,3,1,6,6,2,4,4,1,3,5,3,4,2,5,5,5,4,6,4,3,6,5,4,5,3,5,6,6,1,5,5,5,2,2,5,1,6,2,4,4,2,2,3,4
Barbitúricos,3,5,3,6,2,6,3,1,3,6,5,1,0,2,1,2,4,3,2,2,6,6,5,5,1,5,1,4,4,6,5,5,3,3,6,5,2,1,2,5,6,4,6,1,6,5,5,2,1,5,6,2,2,5,5,6,4,5,3,1,5
Benzodiazepinas (Diazepam),4,4,4,1,1,4,2,4,1,6,1,1,5,0,2,1,1,2,5,6,2,2,6,4,1,1,3,2,2,2,4,5,6,4,2,5,4,4,1,3,2,1,5,5,6,5,5,5,2,3,1,1,3,5,2,4,2,6,6,6,3
Biguanidas (Fenformina),6,4,3,6,4,1,4,5,1,5,3,5,2,1,0,3,3,1,3,2,4,3,4,1,3,2,3,2,3,1,6,2,1,4,2,5,6,4,4,4,1,2,6,1,2,6,6,5,1,1,4,5,3,1,3,1,2,5,3,3,5
Bloqueadores adrenérgicos beta,1,1,2,3,5,5,6,2,1,3,1,5,3,4,1,0,1,5,4,5,2,1,4,4,3,5,2,3,4,3,1,4,4,6,2,4,1,2,5,1,5,5,1,4,4,4,4,3,3,6,3,4,5,4,1,6,6,2,6,3,2
Bloqueantes Neuromusculares,1,3,4,5,5,1,5,5,3,2,4,1,1,2,1,2,0,1,2,5,3,6,3,6,5,4,2,5,5,6,6,4,1,3,6,3,6,1,6,4,6,6,1,3,4,1,2,2,2,2,5,3,3,6,1,5,5,5,5,4,1
Carbamazepina,3,4,3,5,5,3,4,4,5,1,3,4,6,3,6,6,6,0,4,2,2,4,3,3,6,5,3,6,4,1,2,4,6,3,3,2,2,1,2,6,4,6,1,1,5,4,5,1,6,3,2,5,3,4,6,1,4,2,4,3,6
Cefaloridina (Ceporan),6,5,6,6,1,2,6,6,4,4,1,4,3,2,6,5,6,4,0,4,2,5,1,2,2,5,1,2,5,4,2,6,5,3,6,2,6,5,2,2,6,1,6,5,2,5,4,1,6,5,6,6,3,5,5,3,2,6,5,3,1
Clofibrato,2,1,5,5,4,2,5,2,6,3,1,6,1,6,5,4,1,6,5,0,1,4,3,4,6,1,6,3,3,2,1,4,6,3,3,4,6,4,5,5,3,3,3,1,6,6,2,1,1,3,2,3,1,2,3,4,3,2,5,2,3
Clonidina,6,1,1,5,6,1,2,2,5,6,4,6,1,1,2,1,2,1,1,4,0,1,4,3,4,4,1,3,3,1,4,2,2,1,6,3,3,4,3,6,1,1,1,2,3,2,1,5,5,5,6,1,3,2,6,1,3,3,4,1,6
Cloranfenicol,3,6,5,4,6,5,1,5,6,5,5,3,4,5,2,6,4,5,2,6,4,0,4,2,2,6,3,4,6,4,1,2,6,2,5,5,3,4,1,3,5,4,5,1,1,4,1,5,3,5,1,1,3,2,2,1,6,2,4,1,3
Colestiramina,2,4,2,5,1,6,3,2,4,1,4,2,2,3,2,4,3,3,2,6,3,6,0,6,2,3,5,2,3,1,2,6,4,4,3,4,4,3,3,1,2,6,4,2,2,6,2,2,5,2,5,2,2,4,4,5,3,1,6,5,5
